agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,2,58,-901.1256180500661,-0.06069544987748924,10936.0,83.0
Q-Learning,2,59,-908.1633403898977,-0.06832740135758834,11039.0,103.0
Q-Learning,2,60,-914.4010627297293,-0.06566023515612213,11134.0,95.0
Q-Learning,2,61,-918.3387850695609,-0.054690588053216825,11206.0,72.0
Q-Learning,2,62,-922.1765074093926,-0.05405242732157199,11277.0,71.0
Q-Learning,2,63,-943.1142297492243,-0.08651951380095742,11519.0,242.0
Q-Learning,2,64,-943.4519520890559,-0.009381176106433952,11555.0,36.0
Q-Learning,2,65,-949.2896744288876,-0.06415079494320444,11646.0,91.0
Q-Learning,2,66,-952.0273967687192,-0.04562870566386026,11706.0,60.0
Q-Learning,2,67,-961.4651191085508,-0.0743127743293826,11833.0,127.0
Q-Learning,2,68,-963.1028414483824,-0.03342290489452285,11882.0,49.0
Q-Learning,2,69,-964.840563788214,-0.03475444679663238,11932.0,50.0
Q-Learning,2,70,-964.2782861280456,0.02082509852475476,11959.0,27.0
Q-Learning,2,71,-966.3160084678772,-0.038447591317577696,12012.0,53.0
Q-Learning,2,72,-967.3537308077088,-0.024133077670502826,12055.0,43.0
Q-Learning,2,73,-982.2914531475403,-0.08207539747160224,12237.0,182.0
Q-Learning,2,74,-981.7291754873719,0.02082509852475476,12264.0,27.0
Q-Learning,2,75,-985.6668978272035,-0.054690588053216825,12336.0,72.0
Q-Learning,2,76,-1002.8046201670351,-0.08400844284231196,12540.0,204.0
Q-Learning,2,77,-1005.1423425068667,-0.041745041782707444,12596.0,56.0
Q-Learning,2,78,-1008.7800648466983,-0.052720613620748,12665.0,69.0
Q-Learning,2,79,-1011.2177871865299,-0.04276705859353713,12722.0,57.0
Q-Learning,2,80,-1022.6555095263615,-0.07780763496484071,12869.0,147.0
Q-Learning,2,81,-1033.4932318661931,-0.07686327900589777,13010.0,141.0
Q-Learning,2,82,-1034.1309542060249,-0.016351854867477502,13049.0,39.0
Q-Learning,2,83,-1035.7686765458566,-0.03342290489452285,13098.0,49.0
Q-Learning,2,84,-1040.8063988856882,-0.06069544987748924,13181.0,83.0
Q-Learning,2,85,-1054.1441212255197,-0.08034772493874448,13347.0,166.0
Q-Learning,2,86,-1056.5818435653514,-0.04276705859353713,13404.0,57.0
Q-Learning,2,87,-1058.919565905183,-0.041745041782707444,13460.0,56.0
Q-Learning,2,88,-1062.9572882450145,-0.055311264929200146,13533.0,73.0
Q-Learning,2,89,-1063.0950105848462,-0.004050657053871237,13567.0,34.0
Q-Learning,2,90,-1065.732732924678,-0.04470715830223078,13626.0,59.0
Q-Learning,2,91,-1069.0704552645095,-0.05057155060350929,13692.0,66.0
Q-Learning,2,92,-1070.3081776043412,-0.02750494088514713,13737.0,45.0
Q-Learning,2,93,-1073.1458999441727,-0.04652003835789533,13798.0,61.0
Q-Learning,2,94,-1074.0836222840044,-0.02232672237694338,13840.0,42.0
Q-Learning,2,95,-1074.821344623836,-0.018443058495790567,13880.0,40.0
Q-Learning,2,96,-1077.5590669636676,-0.04562870566386026,13940.0,60.0
Q-Learning,2,97,-1078.8967893034992,-0.029080920431122183,13986.0,46.0
Q-Learning,2,98,-1082.7345116433307,-0.05405242732157199,14057.0,71.0
Q-Learning,2,99,-1086.5722339831623,-0.05405242732157199,14128.0,71.0
Q-Learning,3,0,-40.93772233983198,-0.09261928131183705,442.0,442.0
Q-Learning,3,1,-78.87544467966391,-0.0920818503393979,854.0,412.0
Q-Learning,3,2,-150.0131670194956,-0.09561521819869848,1598.0,744.0
Q-Learning,3,3,-219.75088935932735,-0.0955311264929202,2328.0,730.0
Q-Learning,3,4,-238.38861169915901,-0.08510375497640028,2547.0,219.0
Q-Learning,3,5,-314.6263340389904,-0.09589650608783822,3342.0,795.0
Q-Learning,3,6,-352.7640563788224,-0.09212010227012546,3756.0,414.0
Q-Learning,3,7,-396.1017787186544,-0.09299940416272964,4222.0,466.0
Q-Learning,3,8,-409.33950105848595,-0.08022862024140354,4387.0,165.0
Q-Learning,3,9,-421.4772233983175,-0.07881637883007521,4541.0,154.0
Q-Learning,3,10,-428.5149457381491,-0.06832740135758834,4644.0,103.0
Q-Learning,3,11,-456.2526680779809,-0.08947652367687675,4954.0,310.0
Q-Learning,3,12,-468.0903904178125,-0.07839551218431512,5105.0,151.0
Q-Learning,3,13,-508.1281127576445,-0.09246587145457728,5538.0,433.0
Q-Learning,3,14,-574.2658350974764,-0.09529931172886448,6232.0,694.0
Q-Learning,3,15,-585.1035574373079,-0.07686327900589777,6373.0,141.0
Q-Learning,3,16,-606.7412797771397,-0.0868984832924968,6622.0,249.0
Q-Learning,3,17,-618.0790021169712,-0.07765563246459989,6768.0,146.0
Q-Learning,3,18,-626.2167244568028,-0.07138352929676839,6882.0,114.0
Q-Learning,3,19,-675.754446796635,-0.09382144382543958,7410.0,528.0
Q-Learning,3,20,-692.0921691364666,-0.08335572622363076,7606.0,196.0
